record_id,station_name,latitude,longitude,region,measurement_date,depth_m,temperature_c,salinity_psu,ph_level,dissolved_oxygen_ml_l,nitrate_mg_l,phosphate_mg_l,chlorophyll_a_mg_m3,turbidity_ntu,data_source,quality_flag
OCE00023,Arabian Sea Station 1,19.936236655810017,70.02455068064796,Arabian Sea,2024-05-27,100,24.95,34.14,7.99,4.65,2.407,0.304,0.472,3.73,CTD Cast,Good
OCE00024,Arabian Sea Station 1,20.079592929369557,69.91682553245188,Arabian Sea,2024-05-27,200,17.15,35.02,7.87,2.32,2.425,0.638,0.391,6.2,CTD Cast,Good
OCE00025,Arabian Sea Station 1,20.06698944113888,70.09493811920971,Arabian Sea,2024-06-30,0,26.6,34.02,8.06,7.51,0.41,0.155,0.133,2.46,CTD Cast,Good
OCE00026,Arabian Sea Station 1,19.978579021778636,69.90573048551553,Arabian Sea,2024-06-30,50,24.93,35.35,8.15,5.55,0.696,0.168,1.233,8.96,CTD Cast,Good
OCE00027,Arabian Sea Station 1,20.00883973250074,69.9550478362074,Arabian Sea,2024-06-30,100,20.06,35.28,7.87,3.1,2.218,0.429,0.488,10.79,CTD Cast,Fair
OCE00028,Arabian Sea Station 1,20.061129761072667,69.94486371177071,Arabian Sea,2024-06-30,200,16.9,35.56,7.85,3.1,2.196,0.642,0.425,3.78,CTD Cast,Good
OCE00029,Arabian Sea Station 1,19.942225188511607,70.0504936675173,Arabian Sea,2024-07-27,0,30.9,35.4,7.84,7.13,0.741,0.442,0.217,1.24,CTD Cast,Good
OCE00030,Arabian Sea Station 1,20.061086465859997,70.05203218595803,Arabian Sea,2024-07-27,50,25.97,34.71,7.91,5.49,1.607,0.223,1.23,2.73,CTD Cast,Good
OCE00031,Arabian Sea Station 1,19.978382112588783,70.03943273842759,Arabian Sea,2024-07-27,100,20.75,34.5,7.89,4.02,2.391,0.276,0.066,3.3,CTD Cast,Good
OCE00032,Arabian Sea Station 1,19.94810631703603,70.03447676865834,Arabian Sea,2024-07-27,200,19.49,34.59,8.05,3.79,2.665,0.553,0.235,12.48,CTD Cast,Fair
OCE00033,Arabian Sea Station 1,19.954128788396353,69.91624592696134,Arabian Sea,2024-08-31,0,30.04,35.24,7.96,6.39,1.502,0.212,1.04,14.89,CTD Cast,Fair
OCE00034,Arabian Sea Station 1,19.957887904323897,69.99353624249697,Arabian Sea,2024-08-31,50,24.62,35.53,8.17,6.48,1.853,0.41,1.759,9.48,CTD Cast,Good
OCE00035,Arabian Sea Station 1,20.037817530749646,70.06465464253601,Arabian Sea,2024-08-31,100,22.06,34.74,7.88,4.41,2.716,0.341,0.47,8.56,CTD Cast,Good
OCE00036,Arabian Sea Station 1,19.94206371125716,70.0530726727716,Arabian Sea,2024-08-31,200,20.46,34.22,8.03,2.08,3.791,0.896,0.182,4.17,CTD Cast,Good
OCE00037,Arabian Sea Station 1,20.03529674990412,70.01884836546172,Arabian Sea,2024-10-05,0,31.19,34.15,7.85,8.45,1.38,0.431,0.554,9.25,CTD Cast,Good
OCE00038,Arabian Sea Station 1,19.946666564529867,70.0250660339909,Arabian Sea,2024-10-05,50,26.73,34.91,7.95,5.19,2.06,0.252,1.446,11.33,CTD Cast,Good
OCE00039,Arabian Sea Station 1,19.96826372919001,69.9957056739839,Arabian Sea,2024-10-05,100,21.09,34.19,7.8,4.51,2.714,0.27,0.38,13.97,CTD Cast,Fair
OCE00040,Arabian Sea Station 1,19.985279671360324,70.0096290405456,Arabian Sea,2024-10-05,200,17.32,34.9,7.71,2.16,2.591,0.463,0.334,3.03,CTD Cast,Good
OCE00041,Arabian Sea Station 1,20.00005570704155,69.91387881718083,Arabian Sea,2024-10-29,0,27.78,35.0,8.19,6.13,1.792,0.31,0.889,1.8,CTD Cast,Good
OCE00042,Arabian Sea Station 1,20.00509406147118,70.03956655710104,Arabian Sea,2024-10-29,50,26.4,34.56,8.14,5.52,0.872,0.472,0.728,13.55,CTD Cast,Good
OCE00043,Arabian Sea Station 1,19.943578275925347,70.0323669170228,Arabian Sea,2024-10-29,100,23.96,35.11,8.02,5.36,1.662,0.251,0.172,9.69,CTD Cast,Good
OCE00044,Arabian Sea Station 1,19.926915253420823,69.9188837795321,Arabian Sea,2024-10-29,200,19.15,34.22,7.99,2.65,3.364,0.7,0.204,12.56,CTD Cast,Good
OCE00045,Arabian Sea Station 1,19.900006143769076,70.04242740917613,Arabian Sea,2024-12-04,0,31.51,34.97,7.84,7.01,1.485,0.401,0.266,5.67,CTD Cast,Good
OCE00046,Arabian Sea Station 1,19.91701127709785,70.00977456030851,Arabian Sea,2024-12-04,50,25.02,34.07,7.99,6.63,2.42,0.405,1.126,6.01,CTD Cast,Good
OCE00047,Arabian Sea Station 1,20.09746723171591,69.98882071138132,Arabian Sea,2024-12-04,100,23.04,34.68,7.85,3.24,1.698,0.293,0.13,8.21,CTD Cast,Good
OCE00048,Arabian Sea Station 1,20.03450145253473,70.03643833785102,Arabian Sea,2024-12-04,200,21.12,35.69,7.93,3.62,2.721,0.588,0.231,5.07,CTD Cast,Good
OCE00049,Arabian Sea Station 1,20.074571884313134,69.99999179839295,Arabian Sea,2025-01-06,0,26.8,34.95,7.85,7.45,1.418,0.365,1.155,11.09,CTD Cast,Good
OCE00050,Arabian Sea Station 1,19.939249143341232,69.9251099579797,Arabian Sea,2025-01-06,50,26.48,34.33,7.79,5.21,1.442,0.428,1.73,14.47,CTD Cast,Good
OCE00051,Arabian Sea Station 1,20.017117536774524,70.00886897752686,Arabian Sea,2025-01-06,100,20.54,34.82,7.98,4.35,1.263,0.276,0.097,3.89,CTD Cast,Good
OCE00052,Arabian Sea Station 1,20.022727580597877,70.07958705868874,Arabian Sea,2025-01-06,200,19.46,35.43,7.72,3.0,3.41,0.564,0.188,12.24,CTD Cast,Good
OCE00053,Arabian Sea Station 1,20.011292927469764,69.97172431639072,Arabian Sea,2025-02-04,0,29.5,35.1,7.95,7.6,0.986,0.135,1.082,13.71,CTD Cast,Good
OCE00054,Arabian Sea Station 1,19.97918744523919,70.05125075828448,Arabian Sea,2025-02-04,50,24.08,34.52,7.8,6.42,1.934,0.299,1.416,7.09,CTD Cast,Good
OCE00055,Arabian Sea Station 1,19.912407352725758,69.96786105346192,Arabian Sea,2025-02-04,100,22.06,35.5,7.85,3.3,2.211,0.686,0.22,7.84,CTD Cast,Good
OCE00056,Arabian Sea Station 1,20.076654720285244,69.98296513110427,Arabian Sea,2025-02-04,200,16.13,35.19,8.1,2.9,2.774,0.63,0.102,6.12,CTD Cast,Good
OCE00057,Arabian Sea Station 1,20.09091318577176,69.930286462874,Arabian Sea,2025-02-26,0,29.96,34.66,8.06,6.15,1.646,0.473,1.008,7.42,CTD Cast,Good
OCE00058,Arabian Sea Station 1,20.046873135298444,69.94176618709892,Arabian Sea,2025-02-26,50,26.41,34.92,7.94,5.35,0.841,0.326,0.493,1.35,CTD Cast,Good
OCE00059,Arabian Sea Station 1,19.915856056926238,70.01317011206265,Arabian Sea,2025-02-26,100,22.76,34.99,8.1,4.44,1.756,0.611,0.293,13.67,CTD Cast,Good
OCE00060,Arabian Sea Station 1,20.087913717805034,70.05102672348904,Arabian Sea,2025-02-26,200,17.77,34.64,7.76,2.3,2.922,0.718,0.086,9.01,CTD Cast,Good
OCE00061,Arabian Sea Station 1,20.08817603391184,69.92486916828618,Arabian Sea,2025-04-04,0,30.97,34.12,7.99,7.58,1.674,0.403,0.488,13.19,CTD Cast,Good
OCE00062,Arabian Sea Station 1,20.08718744964971,70.03445013745883,Arabian Sea,2025-04-04,50,27.88,34.32,8.06,4.6,1.37,0.382,1.245,7.48,CTD Cast,Good
OCE00063,Arabian Sea Station 1,19.926435931550774,69.98797112794277,Arabian Sea,2025-04-04,100,24.05,35.53,7.76,5.46,1.264,0.616,0.176,9.84,CTD Cast,Good
OCE00064,Arabian Sea Station 1,19.909672542209755,70.06409751689606,Arabian Sea,2025-04-04,200,17.67,34.28,7.94,3.8,2.828,0.547,0.249,12.48,CTD Cast,Good
OCE00065,Arabian Sea Station 1,20.01971259864355,69.98282821364313,Arabian Sea,2025-05-05,0,29.53,34.53,8.12,7.39,1.669,0.334,1.198,14.39,CTD Cast,Good
OCE00066,Arabian Sea Station 1,20.020871863942954,70.05273845387006,Arabian Sea,2025-05-05,50,26.16,34.96,7.86,6.06,1.686,0.233,0.307,8.09,CTD Cast,Fair
OCE00067,Arabian Sea Station 1,19.977341411408794,69.91023004112408,Arabian Sea,2025-05-05,100,21.13,35.1,7.78,4.1,1.41,0.333,0.141,6.27,CTD Cast,Good
OCE00068,Arabian Sea Station 1,19.914231135775584,70.01477316993542,Arabian Sea,2025-05-05,200,18.58,34.92,7.85,3.68,2.376,0.678,0.078,8.71,CTD Cast,Good
OCE00069,Arabian Sea Station 1,20.008254022188336,70.02911443628548,Arabian Sea,2025-05-28,0,31.27,34.84,8.18,6.12,0.286,0.07,0.359,1.16,CTD Cast,Fair
OCE00070,Arabian Sea Station 1,20.00371233773315,69.94916948849868,Arabian Sea,2025-05-28,50,27.78,35.31,7.89,4.69,0.923,0.207,0.422,5.69,CTD Cast,Fair
OCE00071,Arabian Sea Station 1,19.900837488725593,70.03408686675938,Arabian Sea,2025-05-28,100,24.95,35.13,8.13,3.36,1.826,0.5,0.085,9.81,CTD Cast,Good
OCE00072,Arabian Sea Station 1,20.09134408677787,70.01987194500843,Arabian Sea,2025-05-28,200,17.88,34.93,7.87,2.05,2.737,0.53,0.094,11.07,CTD Cast,Good
OCE00073,Arabian Sea Station 1,20.009385775197096,69.99501797457336,Arabian Sea,2025-07-06,0,27.89,34.59,7.89,6.24,0.44,0.409,1.049,13.88,CTD Cast,Good
OCE00074,Arabian Sea Station 1,20.066124552086357,69.94493147952835,Arabian Sea,2025-07-06,50,24.29,34.47,7.91,6.46,2.486,0.258,1.774,6.29,CTD Cast,Good
OCE00075,Arabian Sea Station 1,20.015671952623308,70.06652235466522,Arabian Sea,2025-07-06,100,22.05,35.57,7.82,5.0,1.735,0.579,0.239,12.16,CTD Cast,Good
OCE00076,Arabian Sea Station 1,20.003922335160603,70.09930526175972,Arabian Sea,2025-07-06,200,21.06,34.29,7.98,2.28,2.89,0.697,0.231,2.46,CTD Cast,Good
OCE00077,Arabian Sea Station 1,20.09830655516548,69.94166307800171,Arabian Sea,2025-08-01,0,30.05,34.59,7.85,6.4,1.904,0.446,1.37,5.65,CTD Cast,Good
OCE00078,Arabian Sea Station 1,19.99434796750369,70.01069435524197,Arabian Sea,2025-08-01,50,26.68,34.78,7.94,5.39,1.728,0.409,0.491,8.77,CTD Cast,Good
OCE00079,Arabian Sea Station 1,20.03899062386861,70.01347818883121,Arabian Sea,2025-08-01,100,21.05,35.21,7.76,3.89,2.582,0.504,0.168,12.05,CTD Cast,Good
OCE00080,Arabian Sea Station 1,20.00274157104306,69.9576369051919,Arabian Sea,2025-08-01,200,20.15,35.12,7.9,2.27,2.597,0.639,0.32,0.59,CTD Cast,Good
OCE00081,Arabian Sea Station 1,19.99432989815012,69.91828439836343,Arabian Sea,2025-08-31,0,28.98,34.43,8.09,6.06,1.211,0.474,0.344,9.57,CTD Cast,Good
OCE00082,Arabian Sea Station 1,20.01542341647758,70.07813169109237,Arabian Sea,2025-08-31,50,26.2,34.66,7.98,6.74,0.973,0.16,1.751,9.16,CTD Cast,Good
OCE00083,Arabian Sea Station 1,19.93972891537948,69.94937140551914,Arabian Sea,2025-08-31,100,24.05,34.74,8.05,5.28,2.187,0.331,0.171,4.94,CTD Cast,Good
OCE00084,Arabian Sea Station 1,20.00361549960807,69.94279893573966,Arabian Sea,2025-08-31,200,18.89,35.08,7.87,3.23,2.255,0.49,0.127,4.61,CTD Cast,Good
OCE00085,Arabian Sea Station 2,18.404027569789857,72.43075674110264,Arabian Sea,2024-01-05,0,28.4,35.22,7.81,7.62,1.371,0.409,1.406,13.35,CTD Cast,Good
OCE00086,Arabian Sea Station 2,18.45744424184103,72.57595048045887,Arabian Sea,2024-01-05,50,25.83,34.9,8.04,6.2,2.37,0.599,1.496,1.21,CTD Cast,Good
OCE00087,Arabian Sea Station 2,18.53497864061083,72.44781327681501,Arabian Sea,2024-01-05,100,21.16,35.45,7.85,3.55,1.362,0.637,0.275,11.49,CTD Cast,Good
OCE00088,Arabian Sea Station 2,18.460677108725825,72.55637818259937,Arabian Sea,2024-01-05,200,20.32,34.67,7.86,2.42,3.955,0.741,0.471,11.6,CTD Cast,Good
OCE00089,Arabian Sea Station 2,18.441363578626678,72.50089118833387,Arabian Sea,2024-02-03,0,30.15,35.45,7.96,6.33,1.376,0.378,0.905,5.03,CTD Cast,Good
OCE00090,Arabian Sea Station 2,18.556677443999167,72.5818505388874,Arabian Sea,2024-02-03,50,25.71,35.02,8.07,5.08,1.37,0.271,0.558,5.87,CTD Cast,Good
OCE00091,Arabian Sea Station 2,18.412486265455556,72.49723473082098,Arabian Sea,2024-02-03,100,23.76,35.45,8.09,3.46,2.917,0.42,0.203,2.08,CTD Cast,Good
OCE00092,Arabian Sea Station 2,18.552930190076975,72.42933902280303,Arabian Sea,2024-02-03,200,16.74,34.68,8.02,3.75,2.675,0.836,0.436,10.51,CTD Cast,Good
OCE00093,Arabian Sea Station 2,18.462412808930406,72.56047920611073,Arabian Sea,2024-03-04,0,31.67,35.02,7.93,7.25,1.327,0.28,0.268,12.99,CTD Cast,Good
OCE00094,Arabian Sea Station 2,18.462583909605765,72.57170129091031,Arabian Sea,2024-03-04,50,24.55,35.48,7.91,6.16,2.028,0.515,1.902,2.41,CTD Cast,Good
OCE00095,Arabian Sea Station 2,18.54349299812238,72.49509514304654,Arabian Sea,2024-03-04,100,23.53,35.21,8.02,3.63,2.759,0.326,0.074,12.81,CTD Cast,Good
OCE00096,Arabian Sea Station 2,18.520862596448065,72.49217966764131,Arabian Sea,2024-03-04,200,17.68,34.45,8.03,3.1,2.459,0.774,0.28,12.52,CTD Cast,Good
OCE00097,Arabian Sea Station 2,18.5758559112314,72.54507432004696,Arabian Sea,2024-04-03,0,30.98,35.06,7.84,8.1,1.375,0.364,0.608,2.13,CTD Cast,Good
OCE00098,Arabian Sea Station 2,18.449758357747836,72.58841164389771,Arabian Sea,2024-04-03,50,25.63,35.38,7.79,6.9,1.89,0.434,0.687,4.82,CTD Cast,Good
OCE00099,Arabian Sea Station 2,18.47143846679861,72.46881832356989,Arabian Sea,2024-04-03,100,23.88,34.69,7.81,3.03,2.134,0.689,0.216,8.05,CTD Cast,Good
OCE00100,Arabian Sea Station 2,18.414672813491922,72.53262924979504,Arabian Sea,2024-04-03,200,18.08,35.52,7.9,3.02,2.363,0.892,0.162,9.13,CTD Cast,Good
OCE00101,Arabian Sea Station 2,18.491605723316773,72.45132944143722,Arabian Sea,2024-05-06,0,28.49,34.63,8.11,6.49,1.658,0.342,0.687,11.41,CTD Cast,Good
OCE00102,Arabian Sea Station 2,18.410946541384998,72.44084842127369,Arabian Sea,2024-05-06,50,26.05,34.53,8.01,6.99,1.427,0.564,0.821,6.57,CTD Cast,Fair
OCE00103,Arabian Sea Station 2,18.413520949894476,72.54480583775458,Arabian Sea,2024-05-06,100,21.1,34.1,8.12,5.11,2.51,0.326,0.104,13.97,CTD Cast,Good
OCE00104,Arabian Sea Station 2,18.422120719774632,72.4071180461613,Arabian Sea,2024-05-06,200,18.01,34.38,7.9,2.7,2.812,0.73,0.373,14.92,CTD Cast,Good
OCE00105,Arabian Sea Station 2,18.488836681375673,72.53511735471349,Arabian Sea,2024-06-01,0,27.4,34.08,7.88,6.1,0.844,0.411,0.578,7.88,CTD Cast,Good
OCE00106,Arabian Sea Station 2,18.59737918907766,72.55091387224115,Arabian Sea,2024-06-01,50,27.45,35.35,7.78,6.45,1.475,0.595,1.07,4.1,CTD Cast,Good
OCE00107,Arabian Sea Station 2,18.4806961938054,72.446950884345,Arabian Sea,2024-06-01,100,22.69,35.59,8.09,3.24,2.442,0.406,0.053,12.37,CTD Cast,Good
OCE00108,Arabian Sea Station 2,18.4374248540821,72.51110991397712,Arabian Sea,2024-06-01,200,17.36,35.44,7.7,2.62,2.558,0.555,0.081,4.72,CTD Cast,Good
OCE00109,Arabian Sea Station 2,18.59068057587642,72.41204538898006,Arabian Sea,2024-07-02,0,28.5,34.57,8.15,8.26,1.037,0.199,0.25,4.82,CTD Cast,Fair
OCE00110,Arabian Sea Station 2,18.41410712751859,72.58188590073718,Arabian Sea,2024-07-02,50,25.19,34.53,7.84,6.46,0.833,0.436,0.423,3.26,CTD Cast,Good
OCE00111,Arabian Sea Station 2,18.57078857642837,72.40264576258106,Arabian Sea,2024-07-02,100,24.11,34.92,7.78,5.39,1.569,0.637,0.126,7.92,CTD Cast,Good
OCE00112,Arabian Sea Station 2,18.457793704984212,72.47541078620034,Arabian Sea,2024-07-02,200,20.39,35.6,8.06,3.64,3.788,0.54,0.178,6.2,CTD Cast,Good
OCE00113,Arabian Sea Station 2,18.547893846647746,72.52910687128211,Arabian Sea,2024-07-29,0,29.27,34.24,8.08,6.42,0.69,0.277,1.215,2.76,CTD Cast,Good
OCE00114,Arabian Sea Station 2,18.590726521565937,72.47046541085051,Arabian Sea,2024-07-29,50,26.19,34.18,7.93,5.53,0.676,0.273,1.92,1.12,CTD Cast,Good
OCE00115,Arabian Sea Station 2,18.47632329982183,72.55504690777981,Arabian Sea,2024-07-29,100,20.9,34.69,8.13,3.35,2.551,0.299,0.492,5.47,CTD Cast,Good
OCE00116,Arabian Sea Station 2,18.561653642243257,72.41380738738228,Arabian Sea,2024-07-29,200,19.39,34.49,7.76,3.88,3.844,0.849,0.331,5.35,CTD Cast,Fair
OCE00117,Arabian Sea Station 2,18.426453743019696,72.43933763946256,Arabian Sea,2024-09-04,0,27.88,34.95,7.94,6.37,1.233,0.416,0.635,3.94,CTD Cast,Good
OCE00118,Arabian Sea Station 2,18.493808149503632,72.56018774430828,Arabian Sea,2024-09-04,50,25.2,35.01,8.02,6.24,1.289,0.521,0.567,3.11,CTD Cast,Good
OCE00119,Arabian Sea Station 2,18.41114817071749,72.52196255230962,Arabian Sea,2024-09-04,100,20.55,35.43,7.89,4.71,1.148,0.561,0.192,3.99,CTD Cast,Good
OCE00120,Arabian Sea Station 2,18.49677204377286,72.42464949162651,Arabian Sea,2024-09-04,200,17.71,34.32,7.76,2.6,2.271,0.86,0.053,4.96,CTD Cast,Good
OCE00121,Arabian Sea Station 2,18.510798651100625,72.50691184383126,Arabian Sea,2024-09-28,0,31.56,34.24,8.19,6.51,1.509,0.296,1.338,3.33,CTD Cast,Good
OCE00122,Arabian Sea Station 2,18.54758555379976,72.51948584851469,Arabian Sea,2024-09-28,50,24.66,35.42,7.91,5.43,2.044,0.302,1.914,13.27,CTD Cast,Good
OCE00123,Arabian Sea Station 2,18.46842652002238,72.59231014642751,Arabian Sea,2024-09-28,100,20.25,34.49,7.94,3.57,2.513,0.664,0.241,6.95,CTD Cast,Good
OCE00124,Arabian Sea Station 2,18.486738866264076,72.56969435488125,Arabian Sea,2024-09-28,200,18.42,34.73,8.06,3.14,3.548,0.815,0.204,5.77,CTD Cast,Good
OCE00125,Arabian Sea Station 2,18.4102526918352,72.48037525424735,Arabian Sea,2024-10-29,0,30.76,35.41,8.05,7.85,1.63,0.43,0.653,10.27,CTD Cast,Good
OCE00126,Arabian Sea Station 2,18.44081287770932,72.45838223469956,Arabian Sea,2024-10-29,50,25.8,35.17,7.92,6.09,0.954,0.487,1.182,11.35,CTD Cast,Good
OCE00127,Arabian Sea Station 2,18.579591043237002,72.50500986804907,Arabian Sea,2024-10-29,100,22.41,34.42,8.14,4.79,2.919,0.442,0.264,10.76,CTD Cast,Good
OCE00128,Arabian Sea Station 2,18.448470739027353,72.5326621419008,Arabian Sea,2024-10-29,200,16.77,34.87,7.75,2.41,2.102,0.468,0.49,12.67,CTD Cast,Good
OCE00129,Arabian Sea Station 2,18.514712656005344,72.46832822253812,Arabian Sea,2024-12-05,0,29.3,34.23,8.09,7.5,1.489,0.396,1.466,9.9,CTD Cast,Fair
OCE00130,Arabian Sea Station 2,18.494687131875004,72.57090947864043,Arabian Sea,2024-12-05,50,24.27,35.4,7.82,5.32,2.15,0.419,0.909,5.43,CTD Cast,Good
OCE00131,Arabian Sea Station 2,18.541320825798845,72.50706955361233,Arabian Sea,2024-12-05,100,24.35,34.23,8.06,5.12,1.445,0.444,0.124,9.71,CTD Cast,Good
OCE00132,Arabian Sea Station 2,18.48707926467995,72.59062402287883,Arabian Sea,2024-12-05,200,16.38,34.52,7.72,2.64,3.164,0.836,0.35,10.93,CTD Cast,Good
OCE00133,Arabian Sea Station 2,18.50649418157678,72.51288331755595,Arabian Sea,2024-12-28,0,31.58,34.79,7.9,6.13,1.48,0.105,0.524,9.21,CTD Cast,Good
OCE00134,Arabian Sea Station 2,18.51834339377848,72.43840467382726,Arabian Sea,2024-12-28,50,24.67,34.62,8.02,6.92,1.982,0.565,1.572,10.17,CTD Cast,Good
OCE00135,Arabian Sea Station 2,18.561034879472075,72.43715539093974,Arabian Sea,2024-12-28,100,23.12,35.0,7.95,4.32,1.735,0.484,0.139,1.73,CTD Cast,Good
OCE00136,Arabian Sea Station 2,18.584529027920713,72.50047436399441,Arabian Sea,2024-12-28,200,18.05,35.19,7.88,2.55,3.161,0.606,0.47,5.25,CTD Cast,Good
OCE00137,Arabian Sea Station 2,18.548132716213324,72.49700359750481,Arabian Sea,2025-02-01,0,30.42,34.06,7.99,6.84,1.849,0.055,0.874,1.74,CTD Cast,Good
OCE00138,Arabian Sea Station 2,18.421232070709493,72.56749450392375,Arabian Sea,2025-02-01,50,27.89,34.83,8.02,5.09,1.519,0.343,0.335,3.98,CTD Cast,Good
OCE00139,Arabian Sea Station 2,18.410548790432443,72.56683282164168,Arabian Sea,2025-02-01,100,20.97,34.86,8.06,3.15,2.196,0.304,0.066,2.21,CTD Cast,Good
OCE00140,Arabian Sea Station 2,18.515522616127427,72.51418141075042,Arabian Sea,2025-02-01,200,15.32,34.86,8.04,2.52,2.901,0.468,0.252,5.32,CTD Cast,Good
OCE00141,Arabian Sea Station 2,18.57301421987508,72.52015842986792,Arabian Sea,2025-02-26,0,27.89,34.16,7.95,6.25,1.557,0.485,1.458,10.66,CTD Cast,Fair
OCE00142,Arabian Sea Station 2,18.584928358225728,72.41124485897019,Arabian Sea,2025-02-26,50,25.14,35.0,7.96,5.71,2.04,0.277,0.772,7.54,CTD Cast,Good
OCE00143,Arabian Sea Station 2,18.502948438751357,72.419915942708,Arabian Sea,2025-02-26,100,24.56,35.02,7.97,3.62,1.752,0.633,0.302,0.73,CTD Cast,Good
OCE00144,Arabian Sea Station 2,18.425223064475084,72.5163443054947,Arabian Sea,2025-02-26,200,21.75,34.77,7.94,2.16,3.398,0.87,0.309,11.61,CTD Cast,Good
OCE00145,Arabian Sea Station 2,18.44035898965049,72.58176529954338,Arabian Sea,2025-03-27,0,28.44,35.32,8.06,8.25,1.285,0.109,0.534,11.53,CTD Cast,Good
OCE00146,Arabian Sea Station 2,18.40806677042769,72.46523405082566,Arabian Sea,2025-03-27,50,26.71,34.5,7.85,6.39,1.501,0.252,1.31,7.29,CTD Cast,Good
OCE00147,Arabian Sea Station 2,18.513083187950507,72.40420183139727,Arabian Sea,2025-03-27,100,20.74,35.58,7.83,3.33,1.487,0.596,0.241,1.0,CTD Cast,Good
