survey_id,site_name,region,latitude,longitude,survey_date,transect_number,depth_m,transect_length_m,coral_cover_percent,algae_cover_percent,sand_cover_percent,rubble_cover_percent,coral_species_count,fish_species_count,total_fish_count,bleaching_severity,bleached_colonies_percent,water_temperature_c,visibility_m,current_strength,weather_conditions,surveyor,data_source
REEF0045,Lakshadweep - Bangaram,Lakshadweep,10.907774,72.299063,2025-04-01,4,9.9,10,82.4,26.2,0.0,0.0,11,34,233,None,0.0,30.7,11.9,Strong,Choppy,Reef Survey Team,Coral Reef Survey
REEF0046,Lakshadweep - Bangaram,Lakshadweep,10.901464,72.309677,2025-04-01,5,9.4,20,75.7,17.3,6.2,0.8,8,16,127,None,0.0,27.0,21.9,Strong,Choppy,Marine Biologist A,Coral Reef Survey
REEF0047,Lakshadweep - Bangaram,Lakshadweep,10.891713,72.308937,2024-05-28,1,9.4,30,50.2,8.2,22.7,18.9,13,33,294,None,0.0,30.4,19.0,Weak,Calm,Marine Biologist A,Coral Reef Survey
REEF0048,Lakshadweep - Bangaram,Lakshadweep,10.899495,72.2922,2024-05-28,2,15.3,20,51.1,29.4,3.5,15.9,12,28,125,None,0.0,26.9,25.3,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0049,Lakshadweep - Bangaram,Lakshadweep,10.892441,72.293787,2024-05-28,3,7.7,30,65.1,24.7,4.0,6.3,8,29,271,Severe,21.3,30.5,12.9,Weak,Choppy,Research Diver,Coral Reef Survey
REEF0050,Lakshadweep - Bangaram,Lakshadweep,10.894398,72.308945,2025-01-12,1,24.0,10,84.6,25.2,0.0,0.0,12,17,274,Moderate,16.9,27.9,29.0,Moderate,Calm,Marine Biologist A,Coral Reef Survey
REEF0051,Lakshadweep - Bangaram,Lakshadweep,10.905781,72.30448,2025-01-12,2,7.1,50,80.9,25.7,0.0,0.0,11,23,164,None,0.0,27.6,9.8,Strong,Calm,Marine Biologist A,Coral Reef Survey
REEF0052,Lakshadweep - Bangaram,Lakshadweep,10.903136,72.303076,2025-01-12,3,5.1,10,54.3,29.8,2.3,13.6,15,18,226,None,0.0,27.3,9.7,Strong,Rough,Research Diver,Coral Reef Survey
REEF0053,Lakshadweep - Bangaram,Lakshadweep,10.895538,72.294978,2025-01-12,4,8.2,30,48.7,19.4,25.4,6.6,12,28,235,None,0.0,27.1,18.2,Strong,Rough,Research Diver,Coral Reef Survey
REEF0054,Lakshadweep - Bangaram,Lakshadweep,10.890273,72.299634,2025-01-12,5,4.2,50,84.0,24.8,0.0,0.0,15,19,237,Severe,25.7,30.6,12.2,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0055,Lakshadweep - Bangaram,Lakshadweep,10.901364,72.306284,2025-01-12,6,19.9,10,76.1,27.0,0.0,0.0,9,24,129,None,0.0,29.4,25.4,Weak,Choppy,Marine Biologist A,Coral Reef Survey
REEF0056,Lakshadweep - Kavaratti,Lakshadweep,10.603943,72.60991,2025-02-28,1,3.3,20,56.0,12.0,26.7,5.2,8,16,165,Moderate,29.8,26.5,24.3,Strong,Calm,Research Diver,Coral Reef Survey
REEF0057,Lakshadweep - Kavaratti,Lakshadweep,10.603869,72.595016,2025-02-28,2,8.6,10,68.3,24.1,0.0,7.6,12,23,282,None,0.0,31.8,20.8,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0058,Lakshadweep - Kavaratti,Lakshadweep,10.608173,72.60617,2025-02-28,3,22.7,30,40.5,29.1,20.9,9.5,13,15,109,None,0.0,26.8,16.7,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0059,Lakshadweep - Kavaratti,Lakshadweep,10.595429,72.595833,2025-02-28,4,5.7,30,76.3,5.2,12.3,6.3,15,20,129,Moderate,25.6,27.5,13.7,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0060,Lakshadweep - Kavaratti,Lakshadweep,10.599767,72.603054,2025-02-28,5,5.7,50,47.9,11.2,21.4,19.5,13,30,119,None,0.0,29.6,13.3,Moderate,Choppy,Marine Biologist A,Coral Reef Survey
REEF0061,Lakshadweep - Kavaratti,Lakshadweep,10.599809,72.591482,2025-02-28,6,3.8,30,61.1,15.0,21.2,2.7,8,31,156,None,0.0,32.0,16.7,Weak,Rough,Research Diver,Coral Reef Survey
REEF0062,Lakshadweep - Kavaratti,Lakshadweep,10.602491,72.60926,2024-12-28,1,21.3,10,60.9,23.4,13.1,2.6,13,19,151,None,0.0,27.7,11.5,Moderate,Rough,Reef Survey Team,Coral Reef Survey
REEF0063,Lakshadweep - Kavaratti,Lakshadweep,10.598526,72.59262,2024-12-28,2,18.4,20,60.5,18.3,18.3,2.9,9,33,235,Moderate,25.4,31.9,10.1,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0064,Lakshadweep - Kavaratti,Lakshadweep,10.595715,72.607389,2024-12-28,3,4.6,50,79.4,18.1,0.0,2.5,9,16,149,None,0.0,27.8,14.7,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0065,Lakshadweep - Kavaratti,Lakshadweep,10.607696,72.604476,2025-04-07,1,17.7,30,75.9,11.4,0.3,12.4,10,21,214,None,0.0,30.7,14.8,Weak,Choppy,Marine Biologist A,Coral Reef Survey
REEF0066,Lakshadweep - Kavaratti,Lakshadweep,10.602864,72.607644,2025-04-07,2,11.8,50,43.0,17.9,32.2,6.9,8,21,103,None,0.0,31.7,18.7,Moderate,Rough,Reef Survey Team,Coral Reef Survey
REEF0067,Lakshadweep - Kavaratti,Lakshadweep,10.599324,72.603092,2025-04-07,3,5.3,30,51.4,28.0,7.2,13.4,13,21,167,Moderate,12.2,30.1,24.8,Weak,Calm,Reef Survey Team,Coral Reef Survey
REEF0068,Lakshadweep - Kavaratti,Lakshadweep,10.606797,72.595844,2025-04-07,4,23.5,50,64.9,22.4,0.8,11.9,14,21,265,Mild,38.7,26.7,13.6,Strong,Rough,Marine Biologist A,Coral Reef Survey
REEF0069,Lakshadweep - Kavaratti,Lakshadweep,10.606273,72.602372,2025-04-07,5,21.4,10,63.2,14.4,3.9,18.4,13,15,159,Mild,35.0,27.4,26.7,Moderate,Calm,Marine Biologist A,Coral Reef Survey
REEF0070,Lakshadweep - Kavaratti,Lakshadweep,10.592784,72.601604,2025-06-17,1,22.5,30,61.3,23.7,0.0,15.0,11,15,227,None,0.0,31.6,17.8,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0071,Lakshadweep - Kavaratti,Lakshadweep,10.593463,72.590956,2025-06-17,2,8.4,30,46.4,18.9,30.9,3.7,15,24,150,Severe,6.3,31.0,21.0,Strong,Calm,Research Diver,Coral Reef Survey
REEF0072,Lakshadweep - Kavaratti,Lakshadweep,10.597162,72.607885,2025-06-17,3,4.5,30,84.1,20.4,0.0,0.0,9,19,120,None,0.0,30.6,17.4,Weak,Rough,Marine Biologist A,Coral Reef Survey
REEF0073,Lakshadweep - Kavaratti,Lakshadweep,10.607233,72.593015,2025-06-17,4,9.1,30,44.2,10.3,40.7,4.8,13,21,218,None,0.0,26.5,17.4,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0074,Lakshadweep - Kavaratti,Lakshadweep,10.600648,72.607974,2025-06-17,5,24.9,20,73.9,29.3,0.0,0.0,9,33,142,None,0.0,30.2,9.8,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0075,Lakshadweep - Kavaratti,Lakshadweep,10.598038,72.602932,2025-07-07,1,10.7,50,52.3,19.4,9.6,18.7,8,16,113,Mild,31.9,30.3,29.2,Weak,Choppy,Marine Biologist A,Coral Reef Survey
REEF0076,Lakshadweep - Kavaratti,Lakshadweep,10.608614,72.605245,2025-07-07,2,14.4,50,49.2,18.6,16.9,15.3,10,17,189,None,0.0,30.7,12.3,Strong,Rough,Coral Specialist,Coral Reef Survey
REEF0077,Lakshadweep - Kavaratti,Lakshadweep,10.601994,72.596643,2025-07-07,3,3.2,30,49.0,7.8,26.3,16.9,11,34,171,Moderate,15.0,31.8,16.3,Strong,Rough,Marine Biologist A,Coral Reef Survey
REEF0078,Lakshadweep - Kavaratti,Lakshadweep,10.590192,72.595677,2025-07-07,4,5.6,10,44.6,6.9,36.6,11.9,15,29,225,Mild,17.6,31.2,17.3,Weak,Choppy,Research Diver,Coral Reef Survey
REEF0079,Lakshadweep - Kavaratti,Lakshadweep,10.608314,72.599959,2025-07-07,5,11.8,50,73.8,6.8,17.6,1.8,15,35,261,None,0.0,28.9,25.4,Weak,Calm,Reef Survey Team,Coral Reef Survey
REEF0080,Lakshadweep - Kavaratti,Lakshadweep,10.608325,72.597767,2025-07-07,6,16.1,30,62.5,29.5,0.0,7.9,14,34,146,None,0.0,27.5,25.0,Weak,Rough,Research Diver,Coral Reef Survey
REEF0081,Lakshadweep - Kavaratti,Lakshadweep,10.595309,72.594175,2024-11-28,1,23.8,10,40.9,29.1,27.0,3.0,15,30,87,None,0.0,27.7,15.7,Weak,Choppy,Coral Specialist,Coral Reef Survey
REEF0082,Lakshadweep - Kavaratti,Lakshadweep,10.594335,72.60171,2024-11-28,2,10.7,30,69.6,5.4,23.7,1.3,13,29,296,Mild,19.7,30.9,27.5,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0083,Lakshadweep - Kavaratti,Lakshadweep,10.594896,72.601487,2024-11-28,3,19.9,10,53.0,15.2,21.3,10.5,13,31,106,Moderate,5.9,26.9,21.8,Strong,Rough,Marine Biologist A,Coral Reef Survey
REEF0084,Lakshadweep - Kavaratti,Lakshadweep,10.591472,72.593794,2024-11-28,4,10.4,50,43.5,9.8,28.5,18.2,14,24,216,Moderate,27.9,28.3,22.8,Weak,Rough,Reef Survey Team,Coral Reef Survey
REEF0085,Lakshadweep - Kavaratti,Lakshadweep,10.601774,72.59447,2024-11-28,5,21.6,50,62.1,25.6,4.2,8.1,14,32,120,None,0.0,30.6,29.3,Weak,Choppy,Reef Survey Team,Coral Reef Survey
REEF0086,Lakshadweep - Kavaratti,Lakshadweep,10.600287,72.599474,2024-11-28,6,19.6,50,79.6,29.1,0.0,0.0,13,33,190,None,0.0,27.3,20.0,Strong,Rough,Reef Survey Team,Coral Reef Survey
REEF0087,Lakshadweep - Kavaratti,Lakshadweep,10.593597,72.596948,2024-06-26,1,23.5,10,46.6,20.8,20.8,11.9,15,33,294,Moderate,16.4,29.4,12.1,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0088,Lakshadweep - Kavaratti,Lakshadweep,10.606012,72.609443,2024-06-26,2,7.7,50,48.4,16.4,20.3,15.0,9,29,125,Moderate,5.7,29.2,29.0,Strong,Calm,Coral Specialist,Coral Reef Survey
REEF0089,Lakshadweep - Kavaratti,Lakshadweep,10.597826,72.598403,2024-06-26,3,24.3,10,71.3,23.0,0.0,5.8,9,25,206,None,0.0,30.1,27.7,Weak,Calm,Marine Biologist A,Coral Reef Survey
REEF0090,Lakshadweep - Kavaratti,Lakshadweep,10.603988,72.604702,2024-05-30,1,9.4,30,53.7,24.6,15.8,5.9,14,29,216,None,0.0,27.5,26.0,Strong,Rough,Coral Specialist,Coral Reef Survey
REEF0091,Lakshadweep - Kavaratti,Lakshadweep,10.59221,72.606589,2024-05-30,2,16.3,30,48.4,18.6,27.4,5.6,12,21,132,None,0.0,28.1,9.4,Strong,Rough,Research Diver,Coral Reef Survey
REEF0092,Lakshadweep - Kavaratti,Lakshadweep,10.609719,72.590631,2024-05-30,3,17.6,30,56.7,21.2,15.0,7.1,9,28,263,None,0.0,30.4,23.2,Strong,Calm,Coral Specialist,Coral Reef Survey
REEF0093,Lakshadweep - Kavaratti,Lakshadweep,10.592279,72.603138,2024-05-30,4,9.2,30,41.3,15.4,34.7,8.7,8,19,298,None,0.0,30.2,14.8,Moderate,Rough,Marine Biologist A,Coral Reef Survey
REEF0094,Lakshadweep - Kavaratti,Lakshadweep,10.596306,72.591211,2024-01-01,1,18.1,30,65.6,13.7,6.6,14.1,8,18,300,None,0.0,28.8,19.2,Weak,Choppy,Coral Specialist,Coral Reef Survey
REEF0095,Lakshadweep - Kavaratti,Lakshadweep,10.602727,72.6032,2024-01-01,2,9.4,50,46.3,8.9,32.0,12.8,14,35,161,None,0.0,28.5,11.7,Moderate,Choppy,Reef Survey Team,Coral Reef Survey
REEF0096,Lakshadweep - Kavaratti,Lakshadweep,10.605132,72.60665,2024-01-01,3,22.4,20,67.3,26.5,5.9,0.3,14,20,201,Mild,8.2,30.3,9.5,Moderate,Choppy,Reef Survey Team,Coral Reef Survey
REEF0097,Lakshadweep - Kavaratti,Lakshadweep,10.599927,72.599454,2024-01-01,4,9.8,20,79.2,9.3,4.5,7.0,10,24,251,None,0.0,26.2,22.8,Weak,Calm,Marine Biologist A,Coral Reef Survey
REEF0098,Lakshadweep - Kavaratti,Lakshadweep,10.606328,72.608645,2024-01-01,5,22.3,50,54.4,19.7,24.4,1.5,10,19,264,Moderate,8.3,27.9,27.3,Weak,Calm,Coral Specialist,Coral Reef Survey
REEF0099,Andaman - Havelock,Andaman,11.996943,93.001238,2025-09-10,1,12.5,50,60.7,29.2,4.2,5.9,14,34,126,None,0.0,28.5,9.3,Strong,Choppy,Coral Specialist,Coral Reef Survey
REEF0100,Andaman - Havelock,Andaman,11.999787,93.006267,2025-09-10,2,5.2,20,43.1,8.8,32.7,15.3,14,26,137,None,0.0,29.4,18.3,Strong,Calm,Coral Specialist,Coral Reef Survey
REEF0101,Andaman - Havelock,Andaman,12.007767,93.005334,2025-09-10,3,20.9,30,76.6,21.1,0.0,2.3,14,22,262,None,0.0,31.6,8.5,Strong,Rough,Research Diver,Coral Reef Survey
REEF0102,Andaman - Havelock,Andaman,11.991031,93.009175,2025-09-10,4,9.1,50,79.3,14.7,3.6,2.4,13,16,89,Severe,10.5,27.5,18.7,Weak,Rough,Coral Specialist,Coral Reef Survey
REEF0103,Andaman - Havelock,Andaman,12.00403,93.009728,2025-09-10,5,12.7,30,63.3,18.0,7.8,10.8,15,17,116,None,0.0,26.1,8.0,Strong,Calm,Marine Biologist A,Coral Reef Survey
REEF0104,Andaman - Havelock,Andaman,11.991953,92.992031,2025-09-10,6,18.5,10,49.2,27.4,4.8,18.6,12,22,200,None,0.0,31.6,14.0,Strong,Calm,Research Diver,Coral Reef Survey
REEF0105,Andaman - Havelock,Andaman,12.000196,92.993509,2025-07-01,1,20.7,50,80.0,26.3,0.0,0.0,13,30,196,None,0.0,26.6,8.9,Moderate,Choppy,Research Diver,Coral Reef Survey
REEF0106,Andaman - Havelock,Andaman,12.005065,92.998507,2025-07-01,2,24.9,10,44.4,26.4,19.6,9.6,12,24,122,None,0.0,30.9,28.2,Strong,Rough,Research Diver,Coral Reef Survey
REEF0107,Andaman - Havelock,Andaman,11.995957,93.008996,2025-07-01,3,6.3,50,43.7,15.8,24.0,16.6,10,16,241,None,0.0,31.0,24.1,Strong,Calm,Research Diver,Coral Reef Survey
REEF0108,Andaman - Havelock,Andaman,11.994189,93.008978,2024-01-28,1,4.3,20,80.4,12.6,0.0,7.0,9,30,101,None,0.0,27.0,15.9,Moderate,Choppy,Reef Survey Team,Coral Reef Survey
REEF0109,Andaman - Havelock,Andaman,11.993859,92.994078,2024-01-28,2,7.1,30,62.0,24.9,1.7,11.4,12,34,151,None,0.0,29.8,23.2,Weak,Rough,Marine Biologist A,Coral Reef Survey
REEF0110,Andaman - Havelock,Andaman,12.003352,92.998989,2024-01-28,3,18.2,20,43.1,26.5,14.8,15.6,15,34,124,Severe,31.9,26.1,12.8,Moderate,Calm,Research Diver,Coral Reef Survey
REEF0111,Andaman - Havelock,Andaman,11.991303,93.005605,2024-01-28,4,19.6,20,76.6,5.1,8.2,10.0,8,22,204,None,0.0,26.9,22.3,Moderate,Calm,Reef Survey Team,Coral Reef Survey
REEF0112,Andaman - Havelock,Andaman,11.991682,92.993627,2024-01-28,5,13.5,50,69.4,8.6,18.2,3.7,14,34,290,Mild,13.4,27.4,16.7,Moderate,Calm,Coral Specialist,Coral Reef Survey
REEF0113,Andaman - Havelock,Andaman,12.003076,92.998761,2024-06-20,1,20.1,30,72.4,8.2,18.5,1.0,8,33,267,None,0.0,26.5,11.3,Strong,Choppy,Marine Biologist A,Coral Reef Survey
REEF0114,Andaman - Havelock,Andaman,11.990443,93.002567,2024-06-20,2,15.8,50,84.4,27.2,0.0,0.0,14,16,122,None,0.0,27.8,11.4,Moderate,Choppy,Coral Specialist,Coral Reef Survey
REEF0115,Andaman - Havelock,Andaman,11.992762,92.992646,2024-06-20,3,5.5,50,50.8,12.7,17.3,19.2,14,32,139,None,0.0,31.9,16.2,Moderate,Choppy,Reef Survey Team,Coral Reef Survey
REEF0116,Andaman - Havelock,Andaman,11.999153,92.996492,2024-06-20,4,7.0,30,46.4,28.6,5.2,19.7,15,31,191,Mild,10.3,28.5,12.1,Moderate,Rough,Research Diver,Coral Reef Survey
REEF0117,Andaman - Havelock,Andaman,11.997278,92.992582,2025-06-26,1,13.0,30,52.2,13.8,32.1,1.9,14,18,216,None,0.0,31.9,15.2,Strong,Rough,Research Diver,Coral Reef Survey
REEF0118,Andaman - Havelock,Andaman,12.007529,93.006864,2025-06-26,2,23.9,10,75.6,21.5,0.0,3.0,12,25,149,Moderate,21.2,31.9,24.9,Strong,Rough,Coral Specialist,Coral Reef Survey
